Date,Category,Amount,Description,User
2017-04-22 00:00:00.000000,Entertainment,741,Concert,Nikshith
2017-04-17 00:00:00.000000,Rent,11355,Room Rent,Nikshith
2017-04-23 00:00:00.000000,Entertainment,2119,Movie,Nikshith
2017-04-26 00:00:00.000000,Food,1075,Snacks,Nikshith
2017-05-17 00:00:00.000000,Shopping,2067,Clothes,Nikshith
2017-05-14 00:00:00.000000,Food,681,Groceries,Nikshith
2017-05-18 00:00:00.000000,Food,293,Snacks,Nikshith
2017-05-08 00:00:00.000000,Travel,3415,Trip,Nikshith
2017-05-16 00:00:00.000000,Shopping,959,Electronics,Nikshith
2017-05-23 00:00:00.000000,Travel,958,Trip,Nikshith
2017-05-19 00:00:00.000000,Rent,9095,House Rent,Nikshith
2017-05-21 00:00:00.000000,Travel,508,Trip,Nikshith
2017-05-22 00:00:00.000000,Transport,1548,Metro Ticket,Nikshith
2017-05-16 00:00:00.000000,Transport,794,Uber,Nikshith
2017-05-12 00:00:00.000000,Transport,1634,Metro Ticket,Nikshith
2017-05-25 00:00:00.000000,Rent,8349,Hostel Rent,Nikshith
2017-05-15 00:00:00.000000,Travel,1922,Train Ticket,Nikshith
2017-05-08 00:00:00.000000,Transport,572,Auto Ride,Nikshith
2017-05-21 00:00:00.000000,Travel,2873,Taxi,Nikshith
2017-05-21 00:00:00.000000,Transport,2399,Metro Ticket,Nikshith
2017-05-06 00:00:00.000000,Travel,3133,Bus Ticket,Nikshith
2017-05-14 00:00:00.000000,Travel,1392,Taxi,Nikshith
2017-06-23 00:00:00.000000,Rent,5064,Room Rent,Nikshith
2017-06-13 00:00:00.000000,Food,1940,Cafe,Nikshith
2017-06-16 00:00:00.000000,Transport,808,Petrol,Nikshith
2017-06-01 00:00:00.000000,Entertainment,1133,Concert,Nikshith
2017-06-17 00:00:00.000000,Shopping,247,Clothes,Nikshith
2017-06-22 00:00:00.000000,Rent,9902,House Rent,Nikshith
2017-06-24 00:00:00.000000,Food,1055,Snacks,Nikshith
2017-06-07 00:00:00.000000,Transport,2042,Auto Ride,Nikshith
2017-06-26 00:00:00.000000,Shopping,821,Accessories,Nikshith
2017-06-18 00:00:00.000000,Travel,1935,Flight,Nikshith
2017-06-19 00:00:00.000000,Entertainment,327,Netflix,Nikshith
2017-06-16 00:00:00.000000,Transport,2289,Petrol,Nikshith
2017-06-24 00:00:00.000000,Rent,9780,House Rent,Nikshith
2017-06-15 00:00:00.000000,Transport,2041,Petrol,Nikshith
2017-06-01 00:00:00.000000,Entertainment,2490,Movie,Nikshith
2017-06-16 00:00:00.000000,Travel,3144,Taxi,Nikshith
2017-06-18 00:00:00.000000,Rent,6879,Hostel Rent,Nikshith
2017-06-14 00:00:00.000000,Travel,1415,Train Ticket,Nikshith
2017-07-16 00:00:00.000000,Transport,1258,Petrol,Nikshith
2017-07-18 00:00:00.000000,Transport,780,Metro Ticket,Nikshith
2017-07-21 00:00:00.000000,Food,1791,Groceries,Nikshith
2017-07-13 00:00:00.000000,Travel,2319,Taxi,Nikshith
2017-07-22 00:00:00.000000,Transport,1780,Auto Ride,Nikshith
2017-07-11 00:00:00.000000,Transport,108,Metro Ticket,Nikshith
2017-07-23 00:00:00.000000,Food,1634,Breakfast,Nikshith
2017-07-26 00:00:00.000000,Shopping,1580,Clothes,Nikshith
2017-07-23 00:00:00.000000,Transport,345,Metro Ticket,Nikshith
2017-07-18 00:00:00.000000,Entertainment,1732,Netflix,Nikshith
2017-07-28 00:00:00.000000,Entertainment,2128,Movie,Nikshith
2017-07-27 00:00:00.000000,Shopping,345,Amazon Order,Nikshith
2017-07-13 00:00:00.000000,Rent,7321,Hostel Rent,Nikshith
2017-07-28 00:00:00.000000,Rent,9505,House Rent,Nikshith
2017-07-14 00:00:00.000000,Food,136,Groceries,Nikshith
2017-07-28 00:00:00.000000,Food,2061,Snacks,Nikshith
2017-07-17 00:00:00.000000,Food,967,Breakfast,Nikshith
2017-07-15 00:00:00.000000,Transport,2471,Petrol,Nikshith
2017-08-08 00:00:00.000000,Shopping,1166,Electronics,Nikshith
2017-08-05 00:00:00.000000,Transport,2155,Petrol,Nikshith
2017-08-06 00:00:00.000000,Rent,9237,Room Rent,Nikshith
2017-08-08 00:00:00.000000,Rent,7287,Hostel Rent,Nikshith
2017-08-23 00:00:00.000000,Rent,10296,Hostel Rent,Nikshith
2017-08-05 00:00:00.000000,Transport,2152,Uber,Nikshith
2017-08-06 00:00:00.000000,Travel,2405,Flight,Nikshith
2017-08-22 00:00:00.000000,Food,1049,Breakfast,Nikshith
2017-08-04 00:00:00.000000,Food,907,Groceries,Nikshith
2017-08-02 00:00:00.000000,Entertainment,1537,Game,Nikshith
2017-08-16 00:00:00.000000,Entertainment,2330,Concert,Nikshith
2017-08-28 00:00:00.000000,Travel,2415,Trip,Nikshith
2017-08-06 00:00:00.000000,Entertainment,2496,Movie,Nikshith
2017-08-23 00:00:00.000000,Food,2062,Cafe,Nikshith
2017-08-10 00:00:00.000000,Travel,3375,Train Ticket,Nikshith
2017-09-27 00:00:00.000000,Entertainment,927,Game,Nikshith
2017-09-09 00:00:00.000000,Travel,1233,Flight,Nikshith
2017-09-02 00:00:00.000000,Travel,3180,Taxi,Nikshith
2017-09-01 00:00:00.000000,Entertainment,2211,Concert,Nikshith
2017-09-06 00:00:00.000000,Shopping,1783,Amazon Order,Nikshith
2017-09-04 00:00:00.000000,Entertainment,591,Game,Nikshith
2017-09-05 00:00:00.000000,Rent,9517,House Rent,Nikshith
2017-09-17 00:00:00.000000,Travel,1808,Flight,Nikshith
2017-09-26 00:00:00.000000,Food,2158,Snacks,Nikshith
2017-09-28 00:00:00.000000,Rent,8751,House Rent,Nikshith
2017-09-11 00:00:00.000000,Travel,2711,Flight,Nikshith
2017-09-01 00:00:00.000000,Travel,2624,Bus Ticket,Nikshith
2017-09-17 00:00:00.000000,Transport,1606,Auto Ride,Nikshith
2017-09-08 00:00:00.000000,Rent,8119,Hostel Rent,Nikshith
2017-09-26 00:00:00.000000,Travel,2362,Bus Ticket,Nikshith
2017-09-02 00:00:00.000000,Transport,1607,Metro Ticket,Nikshith
2017-09-02 00:00:00.000000,Travel,2891,Bus Ticket,Nikshith
2017-10-08 00:00:00.000000,Travel,3391,Taxi,Nikshith
2017-10-20 00:00:00.000000,Entertainment,1458,Concert,Nikshith
2017-10-05 00:00:00.000000,Rent,5959,Hostel Rent,Nikshith
2017-10-06 00:00:00.000000,Shopping,1236,Shoes,Nikshith
2017-10-20 00:00:00.000000,Entertainment,1685,Netflix,Nikshith
2017-10-16 00:00:00.000000,Entertainment,1287,Game,Nikshith
2017-10-27 00:00:00.000000,Rent,8001,House Rent,Nikshith
2017-10-02 00:00:00.000000,Transport,2148,Auto Ride,Nikshith
2017-10-12 00:00:00.000000,Transport,407,Uber,Nikshith
2017-10-19 00:00:00.000000,Entertainment,2213,Netflix,Nikshith
2017-10-03 00:00:00.000000,Rent,9185,Room Rent,Nikshith
2017-10-21 00:00:00.000000,Rent,11656,Room Rent,Nikshith
2017-10-01 00:00:00.000000,Transport,109,Metro Ticket,Nikshith
2017-10-01 00:00:00.000000,Entertainment,1743,Concert,Nikshith
2017-10-03 00:00:00.000000,Rent,6074,House Rent,Nikshith
2017-11-02 00:00:00.000000,Food,273,Lunch,Nikshith
2017-11-09 00:00:00.000000,Travel,2381,Taxi,Nikshith
2017-11-27 00:00:00.000000,Rent,10612,Hostel Rent,Nikshith
2017-11-11 00:00:00.000000,Transport,1698,Metro Ticket,Nikshith
2017-11-25 00:00:00.000000,Rent,6052,Hostel Rent,Nikshith
2017-11-05 00:00:00.000000,Transport,769,Metro Ticket,Nikshith
2017-11-06 00:00:00.000000,Shopping,1591,Amazon Order,Nikshith
2017-11-17 00:00:00.000000,Transport,1811,Uber,Nikshith
2017-11-24 00:00:00.000000,Entertainment,802,Netflix,Nikshith
2017-11-22 00:00:00.000000,Shopping,2245,Amazon Order,Nikshith
2017-11-03 00:00:00.000000,Travel,1293,Taxi,Nikshith
2017-11-04 00:00:00.000000,Entertainment,1457,Game,Nikshith
2017-11-09 00:00:00.000000,Transport,1137,Petrol,Nikshith
2017-11-27 00:00:00.000000,Transport,1187,Metro Ticket,Nikshith
2017-11-15 00:00:00.000000,Entertainment,821,Netflix,Nikshith
2017-11-01 00:00:00.000000,Food,804,Breakfast,Nikshith
2017-11-01 00:00:00.000000,Transport,1572,Petrol,Nikshith
2017-11-03 00:00:00.000000,Entertainment,1729,Concert,Nikshith
2017-11-17 00:00:00.000000,Travel,1940,Train Ticket,Nikshith
2017-12-20 00:00:00.000000,Entertainment,964,Concert,Nikshith
2017-12-20 00:00:00.000000,Rent,10733,Room Rent,Nikshith
2017-12-23 00:00:00.000000,Travel,2464,Trip,Nikshith
2017-12-28 00:00:00.000000,Rent,9461,House Rent,Nikshith
2017-12-09 00:00:00.000000,Rent,5985,Room Rent,Nikshith
2017-12-08 00:00:00.000000,Transport,763,Metro Ticket,Nikshith
2017-12-15 00:00:00.000000,Rent,5718,Hostel Rent,Nikshith
2017-12-18 00:00:00.000000,Travel,1278,Taxi,Nikshith
2017-12-26 00:00:00.000000,Transport,843,Uber,Nikshith
2017-12-24 00:00:00.000000,Transport,1967,Uber,Nikshith
2017-12-06 00:00:00.000000,Food,996,Lunch,Nikshith
2017-12-09 00:00:00.000000,Rent,10094,House Rent,Nikshith
2017-12-01 00:00:00.000000,Rent,10229,House Rent,Nikshith
2017-12-27 00:00:00.000000,Food,143,Groceries,Nikshith
2017-12-20 00:00:00.000000,Food,945,Groceries,Nikshith
2017-12-13 00:00:00.000000,Travel,1656,Train Ticket,Nikshith
2018-01-16 00:00:00.000000,Shopping,918,Accessories,Nikshith
2018-01-10 00:00:00.000000,Rent,7898,Hostel Rent,Nikshith
2018-01-05 00:00:00.000000,Shopping,1551,Clothes,Nikshith
2018-01-11 00:00:00.000000,Transport,1237,Petrol,Nikshith
2018-01-25 00:00:00.000000,Rent,6205,House Rent,Nikshith
2018-01-23 00:00:00.000000,Transport,2314,Uber,Nikshith
2018-01-04 00:00:00.000000,Transport,200,Uber,Nikshith
2018-01-25 00:00:00.000000,Food,2316,Breakfast,Nikshith
2018-01-16 00:00:00.000000,Shopping,104,Amazon Order,Nikshith
2018-01-14 00:00:00.000000,Travel,2019,Bus Ticket,Nikshith
2018-01-28 00:00:00.000000,Rent,11428,House Rent,Nikshith
2018-01-19 00:00:00.000000,Transport,2316,Uber,Nikshith
2018-01-03 00:00:00.000000,Travel,1200,Train Ticket,Nikshith
2018-01-06 00:00:00.000000,Rent,9365,Room Rent,Nikshith
2018-01-06 00:00:00.000000,Rent,11396,Hostel Rent,Nikshith
2018-01-08 00:00:00.000000,Entertainment,676,Movie,Nikshith
2018-01-04 00:00:00.000000,Shopping,2397,Shoes,Nikshith
2018-02-13 00:00:00.000000,Transport,2420,Metro Ticket,Nikshith
2018-02-25 00:00:00.000000,Food,2124,Groceries,Nikshith
2018-02-03 00:00:00.000000,Transport,1658,Metro Ticket,Nikshith
2018-02-24 00:00:00.000000,Food,1657,Dinner,Nikshith
2018-02-28 00:00:00.000000,Food,2253,Lunch,Nikshith
2018-02-10 00:00:00.000000,Shopping,425,Amazon Order,Nikshith
2018-02-24 00:00:00.000000,Food,482,Snacks,Nikshith
2018-02-20 00:00:00.000000,Shopping,299,Shoes,Nikshith
2018-02-18 00:00:00.000000,Entertainment,2026,Game,Nikshith
2018-02-08 00:00:00.000000,Travel,976,Bus Ticket,Nikshith
2018-02-23 00:00:00.000000,Travel,3406,Flight,Nikshith
2018-02-11 00:00:00.000000,Entertainment,206,Concert,Nikshith
2018-02-09 00:00:00.000000,Transport,588,Metro Ticket,Nikshith
2018-02-27 00:00:00.000000,Travel,3375,Train Ticket,Nikshith
2018-02-02 00:00:00.000000,Travel,2073,Taxi,Nikshith
2018-02-16 00:00:00.000000,Food,920,Breakfast,Nikshith
2018-02-16 00:00:00.000000,Travel,1715,Flight,Nikshith
2018-02-26 00:00:00.000000,Rent,9041,House Rent,Nikshith
2018-02-25 00:00:00.000000,Travel,3177,Train Ticket,Nikshith
2018-02-04 00:00:00.000000,Food,1978,Snacks,Nikshith
2018-03-04 00:00:00.000000,Food,762,Cafe,Nikshith
2018-03-13 00:00:00.000000,Entertainment,2381,Game,Nikshith
2018-03-11 00:00:00.000000,Travel,2058,Trip,Nikshith
2018-03-12 00:00:00.000000,Food,1141,Dinner,Nikshith
2018-03-21 00:00:00.000000,Travel,3141,Train Ticket,Nikshith
2018-03-22 00:00:00.000000,Travel,1737,Flight,Nikshith
2018-03-01 00:00:00.000000,Food,2292,Cafe,Nikshith
2018-03-16 00:00:00.000000,Entertainment,1453,Game,Nikshith
2018-03-03 00:00:00.000000,Entertainment,578,Game,Nikshith
2018-03-19 00:00:00.000000,Transport,668,Petrol,Nikshith
2018-03-16 00:00:00.000000,Entertainment,643,Movie,Nikshith
2018-03-23 00:00:00.000000,Shopping,1888,Shoes,Nikshith
2018-03-17 00:00:00.000000,Shopping,2350,Amazon Order,Nikshith
2018-03-23 00:00:00.000000,Transport,1372,Petrol,Nikshith
2018-03-06 00:00:00.000000,Travel,3355,Taxi,Nikshith
2018-04-13 00:00:00.000000,Rent,9362,Room Rent,Nikshith
2018-04-05 00:00:00.000000,Food,2006,Dinner,Nikshith
2018-04-19 00:00:00.000000,Shopping,396,Accessories,Nikshith
2018-04-04 00:00:00.000000,Travel,2136,Taxi,Nikshith
2018-04-18 00:00:00.000000,Travel,969,Train Ticket,Nikshith
2018-04-21 00:00:00.000000,Transport,609,Metro Ticket,Nikshith
2018-04-24 00:00:00.000000,Food,835,Snacks,Nikshith
2018-04-20 00:00:00.000000,Transport,380,Petrol,Nikshith
2018-04-10 00:00:00.000000,Rent,5315,Hostel Rent,Nikshith
2018-04-16 00:00:00.000000,Shopping,434,Shoes,Nikshith
2018-04-13 00:00:00.000000,Transport,1644,Auto Ride,Nikshith
2018-04-05 00:00:00.000000,Food,1699,Dinner,Nikshith
2018-04-27 00:00:00.000000,Entertainment,1883,Game,Nikshith
2018-04-23 00:00:00.000000,Entertainment,1730,Netflix,Nikshith
2018-04-02 00:00:00.000000,Entertainment,447,Movie,Nikshith
2018-04-10 00:00:00.000000,Travel,2353,Bus Ticket,Nikshith
2018-04-15 00:00:00.000000,Entertainment,929,Concert,Nikshith
2018-04-09 00:00:00.000000,Shopping,1614,Electronics,Nikshith
2018-04-08 00:00:00.000000,Transport,568,Petrol,Nikshith
2018-05-20 00:00:00.000000,Shopping,1097,Shoes,Nikshith
2018-05-17 00:00:00.000000,Food,1679,Breakfast,Nikshith
2018-05-28 00:00:00.000000,Shopping,378,Clothes,Nikshith
2018-05-18 00:00:00.000000,Transport,2275,Auto Ride,Nikshith
2018-05-04 00:00:00.000000,Food,177,Lunch,Nikshith
2018-05-21 00:00:00.000000,Travel,3021,Taxi,Nikshith
2018-05-19 00:00:00.000000,Travel,3058,Bus Ticket,Nikshith
2018-05-16 00:00:00.000000,Rent,9536,Hostel Rent,Nikshith
2018-05-21 00:00:00.000000,Travel,1735,Train Ticket,Nikshith
2018-05-09 00:00:00.000000,Transport,1308,Uber,Nikshith
2018-05-15 00:00:00.000000,Transport,172,Uber,Nikshith
2018-05-24 00:00:00.000000,Entertainment,1465,Concert,Nikshith
2018-05-06 00:00:00.000000,Travel,551,Train Ticket,Nikshith
2018-05-08 00:00:00.000000,Transport,2206,Auto Ride,Nikshith
2018-05-13 00:00:00.000000,Entertainment,1070,Movie,Nikshith
2018-05-20 00:00:00.000000,Travel,2738,Bus Ticket,Nikshith
2018-05-14 00:00:00.000000,Shopping,609,Amazon Order,Nikshith
2018-06-11 00:00:00.000000,Travel,1379,Taxi,Nikshith
2018-06-20 00:00:00.000000,Food,612,Breakfast,Nikshith
2018-06-10 00:00:00.000000,Shopping,2429,Amazon Order,Nikshith
2018-06-26 00:00:00.000000,Travel,2339,Bus Ticket,Nikshith
2018-06-12 00:00:00.000000,Entertainment,1524,Concert,Nikshith
2018-06-23 00:00:00.000000,Transport,1597,Petrol,Nikshith
2018-06-17 00:00:00.000000,Rent,8153,Hostel Rent,Nikshith
2018-06-11 00:00:00.000000,Travel,2845,Train Ticket,Nikshith
2018-06-22 00:00:00.000000,Rent,9301,House Rent,Nikshith
2018-06-21 00:00:00.000000,Rent,6481,Room Rent,Nikshith
2018-06-28 00:00:00.000000,Shopping,1289,Amazon Order,Nikshith
2018-06-01 00:00:00.000000,Rent,6898,House Rent,Nikshith
2018-06-05 00:00:00.000000,Transport,366,Uber,Nikshith
2018-06-06 00:00:00.000000,Food,2251,Groceries,Nikshith
2018-06-23 00:00:00.000000,Rent,10103,House Rent,Nikshith
2018-06-07 00:00:00.000000,Food,2034,Cafe,Nikshith
2018-06-28 00:00:00.000000,Shopping,1062,Electronics,Nikshith
2018-07-23 00:00:00.000000,Entertainment,2123,Netflix,Nikshith
2018-07-16 00:00:00.000000,Rent,8932,Hostel Rent,Nikshith
2018-07-19 00:00:00.000000,Food,2476,Snacks,Nikshith
2018-07-21 00:00:00.000000,Travel,1718,Trip,Nikshith
2018-07-15 00:00:00.000000,Entertainment,457,Movie,Nikshith
2018-07-11 00:00:00.000000,Shopping,1453,Shoes,Nikshith
2018-07-20 00:00:00.000000,Travel,1381,Bus Ticket,Nikshith
2018-07-10 00:00:00.000000,Rent,11940,Room Rent,Nikshith
2018-07-07 00:00:00.000000,Rent,9114,House Rent,Nikshith
2018-07-13 00:00:00.000000,Entertainment,592,Netflix,Nikshith
2018-07-03 00:00:00.000000,Shopping,1957,Shoes,Nikshith
2018-07-04 00:00:00.000000,Food,2455,Groceries,Nikshith
2018-07-24 00:00:00.000000,Entertainment,464,Movie,Nikshith
2018-07-01 00:00:00.000000,Rent,9306,Room Rent,Nikshith
2018-07-06 00:00:00.000000,Food,1698,Snacks,Nikshith
2018-07-24 00:00:00.000000,Shopping,299,Electronics,Nikshith
2018-07-16 00:00:00.000000,Transport,2116,Petrol,Nikshith
2018-07-26 00:00:00.000000,Rent,7469,Room Rent,Nikshith
2018-07-13 00:00:00.000000,Transport,333,Petrol,Nikshith
2018-08-21 00:00:00.000000,Shopping,1603,Amazon Order,Nikshith
2018-08-13 00:00:00.000000,Food,746,Breakfast,Nikshith
2018-08-14 00:00:00.000000,Rent,6091,House Rent,Nikshith
2018-08-09 00:00:00.000000,Travel,518,Train Ticket,Nikshith
2018-08-12 00:00:00.000000,Travel,1890,Flight,Nikshith
2018-08-03 00:00:00.000000,Rent,9973,Room Rent,Nikshith
2018-08-04 00:00:00.000000,Rent,10352,House Rent,Nikshith
2018-08-22 00:00:00.000000,Shopping,1319,Amazon Order,Nikshith
2018-08-08 00:00:00.000000,Food,1556,Dinner,Nikshith
2018-08-14 00:00:00.000000,Food,291,Dinner,Nikshith
2018-08-18 00:00:00.000000,Entertainment,1394,Movie,Nikshith
2018-08-03 00:00:00.000000,Travel,3491,Trip,Nikshith
2018-08-06 00:00:00.000000,Rent,10670,House Rent,Nikshith
2018-08-21 00:00:00.000000,Entertainment,989,Game,Nikshith
2018-08-22 00:00:00.000000,Transport,1590,Auto Ride,Nikshith
2018-08-06 00:00:00.000000,Shopping,2300,Electronics,Nikshith
2018-08-14 00:00:00.000000,Entertainment,647,Netflix,Nikshith
2018-08-13 00:00:00.000000,Entertainment,1497,Movie,Nikshith
2018-09-26 00:00:00.000000,Rent,10150,Room Rent,Nikshith
2018-09-04 00:00:00.000000,Transport,1222,Metro Ticket,Nikshith
2018-09-21 00:00:00.000000,Transport,555,Uber,Nikshith
2018-09-23 00:00:00.000000,Transport,687,Metro Ticket,Nikshith
2018-09-23 00:00:00.000000,Rent,7588,House Rent,Nikshith
2018-09-18 00:00:00.000000,Food,1988,Dinner,Nikshith
2018-09-14 00:00:00.000000,Rent,7738,House Rent,Nikshith
2018-09-19 00:00:00.000000,Rent,6980,House Rent,Nikshith
2018-09-25 00:00:00.000000,Food,2197,Groceries,Nikshith
2018-09-20 00:00:00.000000,Rent,8590,Room Rent,Nikshith
2018-09-13 00:00:00.000000,Shopping,1532,Clothes,Nikshith
2018-09-13 00:00:00.000000,Shopping,1435,Accessories,Nikshith
2018-09-16 00:00:00.000000,Food,423,Dinner,Nikshith
2018-09-27 00:00:00.000000,Rent,11432,House Rent,Nikshith
2018-09-14 00:00:00.000000,Transport,1169,Auto Ride,Nikshith
2018-09-02 00:00:00.000000,Travel,1509,Bus Ticket,Nikshith
2018-09-07 00:00:00.000000,Transport,1508,Petrol,Nikshith
2018-09-18 00:00:00.000000,Transport,937,Metro Ticket,Nikshith
2018-10-26 00:00:00.000000,Transport,1798,Metro Ticket,Nikshith
2018-10-09 00:00:00.000000,Transport,372,Petrol,Nikshith
2018-10-28 00:00:00.000000,Entertainment,1213,Movie,Nikshith
2018-10-28 00:00:00.000000,Entertainment,1137,Game,Nikshith
2018-10-24 00:00:00.000000,Travel,637,Train Ticket,Nikshith
2018-10-27 00:00:00.000000,Shopping,1272,Accessories,Nikshith
2018-10-10 00:00:00.000000,Entertainment,522,Game,Nikshith
2018-10-09 00:00:00.000000,Shopping,2057,Shoes,Nikshith
2018-10-21 00:00:00.000000,Shopping,1748,Shoes,Nikshith
2018-10-26 00:00:00.000000,Travel,1702,Bus Ticket,Nikshith
2018-10-27 00:00:00.000000,Food,142,Snacks,Nikshith
2018-10-17 00:00:00.000000,Travel,784,Taxi,Nikshith
2018-10-12 00:00:00.000000,Food,1106,Breakfast,Nikshith
2018-10-12 00:00:00.000000,Shopping,357,Accessories,Nikshith
2018-10-20 00:00:00.000000,Transport,1588,Auto Ride,Nikshith
2018-10-28 00:00:00.000000,Transport,2268,Uber,Nikshith
2018-11-20 00:00:00.000000,Transport,1811,Uber,Nikshith
2018-11-15 00:00:00.000000,Transport,277,Auto Ride,Nikshith
2018-11-06 00:00:00.000000,Food,2221,Snacks,Nikshith
2018-11-11 00:00:00.000000,Rent,10805,Hostel Rent,Nikshith
2018-11-15 00:00:00.000000,Rent,8748,House Rent,Nikshith
2018-11-22 00:00:00.000000,Food,1472,Breakfast,Nikshith
2018-11-13 00:00:00.000000,Entertainment,1699,Movie,Nikshith
2018-11-16 00:00:00.000000,Shopping,2466,Amazon Order,Nikshith
2018-11-14 00:00:00.000000,Shopping,603,Shoes,Nikshith
2018-11-02 00:00:00.000000,Travel,2171,Flight,Nikshith
2018-11-19 00:00:00.000000,Entertainment,1811,Netflix,Nikshith
2018-11-13 00:00:00.000000,Food,1857,Dinner,Nikshith
2018-11-02 00:00:00.000000,Rent,11544,Room Rent,Nikshith
2018-11-16 00:00:00.000000,Shopping,939,Electronics,Nikshith
2018-11-15 00:00:00.000000,Transport,1791,Uber,Nikshith
2018-11-02 00:00:00.000000,Shopping,876,Amazon Order,Nikshith
2018-11-03 00:00:00.000000,Food,837,Lunch,Nikshith
2018-11-23 00:00:00.000000,Shopping,1427,Amazon Order,Nikshith
2018-11-11 00:00:00.000000,Food,2366,Groceries,Nikshith
2018-11-26 00:00:00.000000,Food,1283,Dinner,Nikshith
